TOPICS,PULSARID,PUBLISHEDAT,WEEK_TAG
Storm,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Rain,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Malaysia,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Sabah,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Monsoon,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Disasters,0_87317_16_0fa601d5e3a8e191fcc635ffa22c6281,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
meteorology,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical meteorology,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Vortices,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones in,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storms,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclone seasons,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather events,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
natural disasters,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural disasters,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural hazards,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Sabah,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Rain,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Malaysia,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Monsoon,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_dbb056939090718899be5c63319976d9,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Airships,0_87317_126_t1_j0qhyaw,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Aggression,0_87317_9_32940908133795250,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Violence,0_87317_9_32940908133795250,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Kuomintang,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Nine-dash line,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Philosophy,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Chinese Communist Party,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Spratly Islands,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Taiwan,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
China,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Politics,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Philosophical theories,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Politics of China,0_87317_9_68669522200737412,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Politics of Asia,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
International relations,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Politics,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Global politics,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Diplomacy,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Foreign policy,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Government,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
East Asia,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Asia,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Singapore,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Southeast Asia,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
ASEAN,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
China,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Foreign relations,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
South Asia,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Beijing,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Politics of China,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pakistan,0_87317_16_0d0a2bbd461e63a8faac000dd47fea00,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Cold War,0_87317_126_t1_j0q2tum,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Geopolitical rivalry,0_87317_126_t1_j0q2tum,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Politics of the Soviet Union,0_87317_126_t1_j0q2tum,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Foreign policy,0_87317_126_t1_j0q2tum,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Global politics,0_87317_126_t1_j0q2tum,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Soviet Union–United States relations,0_87317_126_t1_j0q2tum,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Physical geography,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storm,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Branches of meteorology,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
natural disasters,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Vortices,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather events,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storms,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural events,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Disasters,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural hazards,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural disasters,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical meteorology,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Synoptic meteorology and weather,0_87317_16_2ed44ea649d6b424db52b804f84be831,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Physical geography,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Branches of meteorology,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropics,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Synoptic meteorology and weather,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storm,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Vortices,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather events,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storms,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural events,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural disasters,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural hazards,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Disasters,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclone seasons,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
natural disasters,0_87317_16_6459dcf03bf4d56a192d3f8eaaea4c6b,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storms,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storm,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Branches of meteorology,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
natural disasters,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather events,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
meteorology,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Vortices,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Physical geography,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclone seasons,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones in,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical meteorology,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropics,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Synoptic meteorology and weather,0_87317_16_8a1e61709fab9b4b540bb66cdb4f5b84,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural events,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Disasters,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storms,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
meteorology,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Branches of meteorology,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropics,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Synoptic meteorology and weather,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storm,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Sarawak,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Selangor,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Sabah,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Monsoon,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural disasters,0_87317_16_c105611dd90ef24b693f271585446ff7,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural hazards,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Disasters,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural events,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storms,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storm,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Branches of meteorology,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Physical geography,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Synoptic meteorology and weather,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclone seasons,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropics,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones in,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
meteorology,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical meteorology,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Vortices,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural disasters,0_87317_16_44af1a92fda805c7a4db7f60ce8b06b2,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Storm,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
natural disasters,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Natural environment,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Weather,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atlantic hurricanes,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Seasons,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Geographical zones,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Vortices,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Branches of meteorology,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclone seasons,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical meteorology,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropical cyclones in,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
meteorology,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Tropics,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Synoptic meteorology and weather,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Physical geography,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Johor,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Pahang,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Perak,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Atmospheric circulation,0_87317_16_582d674fb8f6849056fbcf91b23ac093,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Empire of Japan,0_87317_126_t1_j0ppgzo,2022-12-18,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
